Gender,Percentage,Satisfaction ,Honours,Average_time
M,70,Moderately Satisfied,Satistics,100
M,84,Moderately Dissatisfied,Satistics,300
M,82,Highly Satisfied,Satistics,180
M,61.4,Neutral,Computer Science,30
M,77.1,Neutral,Satistics,70
M,82.3,Highly Satisfied,Mathematics,120
F,90,Moderately Satisfied,Satistics,178
M,86.4,Moderately Satisfied,Satistics,30
M,91.56,Moderately Satisfied,Satistics,120
M,90.22,Highly Satisfied,Satistics,120
F,90.07,Moderately Satisfied,Satistics,30
M,78.4,Moderately Dissatisfied,Satistics,3
F,,Moderately Satisfied,Mathematics,2
F,83.7,Moderately Satisfied,Satistics,90
M,75,Neutral,Mathematics,60
F,95.41,Highly Satisfied,Mathematics,120
F,84,Moderately Satisfied,,150
F,84,Moderately Satisfied,Satistics,150
M,77.65,Moderately Satisfied,Satistics,115
M,77,Moderately Satisfied,Mathematics,120
F,82,Highly Satisfied,Satistics,120
F,80.2,Moderately Satisfied,Satistics,60
M,80,Neutral,Satistics,0
F,76,Neutral,Mathematics,120
M,61.85,Neutral,Satistics,60
M,85.9,Moderately Satisfied,Satistics,60
M,72.5,Moderately Satisfied,Satistics,30
F,,Moderately Satisfied,Satistics,0
M,79.05,Highly Satisfied,Satistics,90
M,88.43,Moderately Satisfied,Satistics,80
M,85.86,Moderately Satisfied,Satistics,90
F,78.47,Moderately Satisfied,Satistics,30
F,85,Neutral,Satistics,30
F,85.43,Moderately Satisfied,Satistics,30
M,85.14,Neutral,Mathematics,60
F,84,Moderately Satisfied,Satistics,100
F,93.58,Highly Satisfied,Mathematics,102
